Index,Latitude,Longitude,Northing,Easting,GeoAddress,BuildingN,StreetN,District,NUMABOVEGROUNDSTOREYS,TOPHEIGHT,RECORDUPDATEDDATE
1,22.4036,113.97494,829382,815475,1547229401T20050430,澤豐花園街市商場,青松觀路,屯門區,4,,8/17/2006
2,22.30254,113.92987,818198,810817,1082118202T20050430,空郵中心,航膳西路,離島區,,23.8,7/25/2005
3,22.3102,113.92148,819048,809954,0995319047T20050430,航空交通管制大樓,管制塔路,離島區,,43.9,7/25/2005
4,22.31973,113.93436,820101,811282,1122920082T20050430,機場管理局大樓,暢業路,離島區,2,,6/7/2021
5,22.36408,114.07038,824996,825299,2529425001T20050430,機場核心計劃展覽中心,青山公路汀九段,荃灣區,,38.4,7/25/2005
6,22.29452,113.92557,817311,810371,1037317309T20050430,機場空運中心,駿運路,離島區,,,7/25/2005
7,22.35847,114.11861,824371,830267,3025924387T20050430,優之良品中心,永基路,葵青區,,,7/25/2005
8,22.20481,114.033,807362,821433,2143007365T20050430,建道神學院,長洲山頂道,離島區,,45.5,7/25/2005
9,22.50094,114.14266,840147,832747,3274940149T20050430,上水宣道小學,和睦路,北區,,30.1,7/25/2005
10,22.36393,114.11902,824976,830309,3031024958T20050430,聯合貨運中心,德士古道,荃灣區,24,,8/17/2006
11,22.38371,114.20842,827166,839517,3952227176T20190225,帝逸酒店,源康街,沙田區,,,7/9/2021
12,22.43978,114.01127,833384,819221,1921933384T20050430,明蓉,唐人新村路,元朗區,2,,8/17/2006
13,22.44917,114.02917,834422,821064,2106534418T20070625,安勁工業大廈,宏業東街,元朗區,10,,6/7/2021
14,22.36941,114.08177,825585,826473,2647225587T20050430,雅信苑,青山公路汀九段,荃灣區,,20,7/25/2005
15,22.50331,114.12844,840410,831284,3128540411T20210222,尚宜,新樂街,北區,,33.4,3/18/2021
16,22.34571,114.12713,822959,831144,3113322966T20050430,亞斯理衛理小學,,葵青區,,62.8,7/25/2005
17,22.29748,113.92198,817638,810002,0998817650T20050430,亞洲空運中心,駿坪路,離島區,,,7/25/2005
18,22.37022,114.13694,825672,832155,3214625662T20050430,亞洲貿易中心,梨木道,荃灣區,29,,8/17/2006
19,22.32146,113.94324,820290,812197,1219120268T20060113,亞洲國際博覽館,航展道,離島區,,,8/18/2021
20,22.30717,114.01703,818698,819798,1979918699T20100823,香港愉景灣酒店,海澄湖畔路,離島區,17,74.55,6/25/2021
21,22.36644,114.17356,825254,835927,3592825246T20070314,醫療輔助隊新界東總區辦事處,車公廟路,沙田區,,13,5/3/2007
22,22.38138,114.19783,826907,838426,3843826910T20050430,浸信會沙田圍呂明才小學,圓洲角路,沙田區,,,8/18/2021
23,22.38486,114.19331,827293,837961,3796227296T20050430,浸信會呂明才中學,源禾路,沙田區,6,24.5,2/24/2014
24,22.28044,114.15435,815730,833947,3394815731T20050430,紫荊樓,奧卑利街,中西區,,58.3,7/25/2005
25,22.30252,114.01175,818185,819253,1925018185T20050430,觀海樓,明翠徑,離島區,22,,8/17/2006
26,22.32278,114.27101,820421,845967,4596720421T20050602,灣景台,銀星徑,西貢區,3,,8/17/2006
27,22.33337,114.18157,821591,836752,3675621591T20050430,麗珊園,喇沙利道,九龍城區,4,,8/17/2006
28,22.38414,114.19797,827213,838440,3844027215T20050430,愛都閣,大涌橋路,沙田區,30,,8/17/2006
29,22.38485,114.19872,827292,838517,3851727293T20050430,富豪花園商場第一期,大涌橋路,沙田區,2,,8/17/2006
30,22.38583,114.19958,827401,838607,3858827380T20050430,富豪花園商場第二期,大涌橋路,沙田區,2,,8/17/2006
31,22.38416,114.19826,827215,838470,3847027216T20050430,碧華閣,大涌橋路,沙田區,30,,8/17/2006
32,22.2726,114.17631,814862,836210,3621114866T20050430,嘉美閣,肇輝臺,灣仔區,12,,8/17/2006
33,22.26738,114.18348,814284,836949,3694914288T20050430,明麗閣,山村道,灣仔區,,,7/25/2005
34,22.26893,114.18521,814455,837127,3712814455T20050430,雅仕閣,景光街,灣仔區,12,,8/17/2006
35,22.38451,114.19925,827254,838572,3857327256T20050430,富儷閣,大涌橋路,沙田區,29,,8/17/2006
36,22.27576,114.18551,815211,837158,3715815212T20050430,嘉蘭閣,連道,灣仔區,,,
37,22.38502,114.19938,827311,838585,3858627313T20050430,豪華閣,大涌橋路,沙田區,29,,8/17/2006
38,22.38545,114.19967,827359,838615,3861627360T20050430,帝皇閣,大涌橋路,沙田區,27,,8/17/2006
39,22.40198,114.19665,829189,838304,3830729188T20050430,景峰閣,樂楓徑,沙田區,12,,8/17/2006
40,22.31421,114.17811,819469,836396,3639519467T20050430,文禧閣,忠孝街,九龍城區,16,87.5,2/24/2014
41,22.38622,114.20035,827444,838685,3868527444T20050430,麗人閣,大涌橋路,沙田區,27,,8/17/2006
42,22.43664,113.99457,833038,817501,1750133039T20050430,頤景居,洪水橋大街,元朗區,,,
43,22.47593,114.0499,837383,823200,2319337386T20050430,伯特利中學,錦綉花園F段第四街,元朗區,,17,7/25/2005
44,22.39307,113.97091,828217,815059,1506028215T20081016,寶泰工業大廈,新安街,屯門區,,,
45,22.39761,113.97479,828718,815459,1546528718T20050430,必興樓,明藝街,屯門區,6,,8/17/2006
46,22.33366,114.26166,821626,845003,4499721628T20050430,玉泉園藝,清水灣道,西貢區,,,
47,22.27413,114.15572,815031,834088,3409215033T20050430,寶園,蒲魯賢徑,中西區,,,
48,22.37643,114.18312,826359,836912,3689726356T20050430,明愛樂進學校住宿部,文禮路,沙田區,,,
49,22.49861,114.14224,839890,832704,3270639890T20050430,中銀聯和墟大樓,和豐街,北區,,,
50,22.50487,114.12703,840584,831140,3114040585T20050430,中銀上水商業中心,新豐路,北區,,,
51,22.44424,114.02896,833875,821042,2104133879T20050430,中銀元朗商業中心,青山公路元朗段,元朗區,,,
52,22.36386,114.13524,824968,831980,3196924972T20050430,保盈工業大廈,華星街,葵青區,,,
53,22.44923,114.16339,834421,834880,3488434424T20050430,邦興大樓,瑞安街,大埔區,,,7/25/2005
54,22.36668,114.11945,825280,830354,3035825291T20050430,卓悅集團中心,橫窩仔街,荃灣區,,,7/25/2005
55,22.36796,114.11923,825422,830331,3034025444T20050430,萬象工業大廈,沙嘴道,荃灣區,23,,8/17/2006
56,22.25691,113.90841,813148,808596,0859713149T20050430,般若林,昂平村,離島區,,455.1,7/25/2005
57,22.39841,114.21505,828794,840199,4020428805T20050430,白普理寧養中心,亞公角山路,沙田區,3,,8/17/2006
58,22.46894,114.23347,836605,842093,4209836617T20050430,白普理賽馬會青年旅舍,大美督路,大埔區,3,,6/7/2021
59,22.37234,114.11741,825908,830144,3014025907T20050430,海晴軒,兆和街,荃灣區,18,,8/17/2006
60,22.43775,114.01998,833158,820117,2010333161T20071121,佛教陳榮根紀念學校,欖口村路,元朗區,,36.4,1/2/2009
61,22.45337,114.16307,834879,834847,3485834864T20050430,佛教慈航智林紀念中學,翠怡街,大埔區,,29.3,7/25/2005
62,22.25166,113.86643,812575,804267,0426212610T20050430,佛教筏可紀念中學,大澳道,離島區,,,6/25/2021
63,22.37979,114.19428,826732,838060,3801626738T20050430,佛教覺光法師中學,沙角街,沙田區,6,30.9,2/24/2014
64,22.36986,114.12354,825633,830775,3074725602T20050430,佛教林炳炎紀念學校,大廈街,葵青區,4,,8/17/2006
65,22.35884,114.12893,824412,831330,3133424409T20050430,佛教林金殿紀念小學,興芳路,葵青區,7,30.5,2/24/2014
66,22.45574,114.00825,835152,818911,1887335147T20050430,佛教茂峰法師紀念中學,天柏路,元朗區,,32,7/25/2005
67,22.49219,114.13716,839179,832182,3218739176T20050430,佛教寶靜護理安老院,置福圍,北區,3,,8/17/2006
68,22.49245,114.13696,839208,832161,3213939220T20050430,佛教寶靜安老院,置福圍,北區,5,,8/17/2006
69,22.3822,114.1862,826999,837229,3722526990T20050430,佛教般若安老院,排頭村,沙田區,,33.2,7/25/2005
70,22.40347,113.96863,829369,814826,1482829370T20050430,佛教沈香林紀念中學,良才里,屯門區,7,33.9,2/24/2014
71,22.45417,114.00668,834978,818749,1876034995T20050430,道慈佛社楊日霖紀念學校,天柏路,元朗區,,19.9,7/25/2005
72,22.20513,114.02592,807398,820703,2071007404T20050430,佛教慧恩法師紀念中學,大興堤路,離島區,,16.5,7/25/2005
73,22.37456,113.96536,826167,814485,1447326160T20050430,佛教黃筱煒紀念學校,湖昌街,屯門區,,,
74,22.37773,114.17825,826503,836409,3638826546T20050430,佛教黃允畋中學,美田路,沙田區,,,
75,22.3489,114.10826,823313,829200,2920623312T20050430,佛教葉紀南紀念中學,,葵青區,,,
76,22.24307,113.97648,811605,815610,1561211604T20050430,杯澳公立學校,羅屋村,離島區,,14.6,7/25/2005
